Date, Employment rate
"1961-01",56.3
"1961-02",55.7
"1961-03",55.8
"1961-04",56.3
"1961-05",57.2
"1961-06",59.1
"1961-07",71.5
"1961-08",72.2
"1961-09",72.7
"1961-10",61.5
"1961-11",57.4
"1961-12",56.9
"1962-01",55.3
"1962-02",54.9
"1962-03",54.9
"1962-04",54.9
"1962-05",54.6
"1962-06",57.7
"1962-07",68.2
"1962-08",70.6
"1962-09",71.0
"1962-10",60.0
"1962-11",56.0
"1962-12",54.4
"1963-01",53.3
"1963-02",52.8
"1963-03",53.0
"1963-04",53.4
"1963-05",54.3
"1963-06",58.2
"1963-07",67.4
"1963-08",71.0
"1963-09",69.8
"1963-10",59.4
"1963-11",55.6
"1963-12",54.6
"1964-01",53.4
"1964-02",53.0
"1964-03",53.0
"1964-04",53.2
"1964-05",54.2
"1964-06",58.0
"1964-07",67.5
"1964-08",70.1
"1964-09",68.2
"1964-10",56.6
"1964-11",54.9
"1964-12",54.0
"1965-01",52.9
"1965-02",52.6
"1965-03",52.8
"1965-04",53.0
"1965-05",53.6
"1965-06",56.1
"1965-07",66.1
"1965-08",69.8
"1965-09",69.3
"1965-10",61.2
"1965-11",57.5
"1965-12",54.9
"1966-01",53.4
"1966-02",52.7
"1966-03",53.0
"1966-04",52.9
"1966-05",55.4
"1966-06",58.7
"1966-07",67.9
"1966-08",70.0
"1966-09",68.7
"1966-10",59.3
"1966-11",56.4
"1966-12",54.5
"1967-01",52.8
"1967-02",52.8
"1967-03",53.2
"1967-04",55.3
"1967-05",55.8
"1967-06",58.2
"1967-07",65.3
"1967-08",67.9
"1967-09",68.3
"1967-10",61.7
"1967-11",56.4
"1967-12",53.9
"1968-01",52.6
"1968-02",52.1
"1968-03",52.4
"1968-04",51.6
"1968-05",52.7
"1968-06",57.3
"1968-07",65.1
"1968-08",71.5
"1968-09",69.9
"1968-10",61.9
"1968-11",57.3
"1968-12",55.1
"1969-01",53.6
"1969-02",53.4
"1969-03",53.5
"1969-04",53.3
"1969-05",53.9
"1969-06",52.7
"1969-07",61.0
"1969-08",69.9
"1969-09",70.4
"1969-10",59.4
"1969-11",56.3
"1969-12",54.3
"1970-01",53.5
"1970-02",53.0
"1970-03",53.2
"1970-04",52.5
"1970-05",53.4
"1970-06",56.5
"1970-07",65.3
"1970-08",70.7
"1970-09",66.9
"1970-10",58.2
"1970-11",55.3
"1970-12",53.4
"1971-01",52.1
"1971-02",51.5
"1971-03",51.5
"1971-04",52.4
"1971-05",53.3
"1971-06",55.5
"1971-07",64.2
"1971-08",69.6
"1971-09",69.3
"1971-10",58.5
"1971-11",55.3
"1971-12",53.6
"1972-01",52.3
"1972-02",51.5
"1972-03",51.7
"1972-04",51.5
"1972-05",52.2
"1972-06",57.1
"1972-07",63.6
"1972-08",68.8
"1972-09",68.9
"1972-10",60.1
"1972-11",55.6
"1972-12",53.9
"1973-01",53.3
"1973-02",53.1
"1973-03",53.5
"1973-04",53.5
"1973-05",53.9
"1973-06",57.1
"1973-07",64.7
"1973-08",69.4
"1973-09",70.3
"1973-10",62.6
"1973-11",57.9
"1973-12",55.8
"1974-01",54.8
"1974-02",54.2
"1974-03",54.6
"1974-04",54.3
"1974-05",54.8
"1974-06",58.1
"1974-07",68.1
"1974-08",73.3
"1974-09",75.5
"1974-10",66.4
"1974-11",60.5
"1974-12",57.7
"1975-01",55.8
"1975-02",54.7
"1975-03",55.0
"1975-04",55.6
"1975-05",56.4
"1975-06",60.6
"1975-07",70.8
"1975-08",76.4
"1975-09",74.8
"1975-10",62.2
